Folio,Fecha,Producto,Categoria,Cantidad,Precio Unitario,Descuento %,Total Venta,Metodo de Pago,Notas
"V-001","2026-04-01","GO 10000 Piña Colada","Desechable",1,280,0,280,"Efectivo",""
"V-009","2026-04-08","Burst 36K Peach Mango Watermelon","Desechable",1,450,0,450,"Efectivo",""
"V-010","2026-04-08","OS5000 Cosmic Berry Cherry","Desechable",1,120,0,120,"Efectivo",""
"V-011","2026-04-08","OS5000 Cosmic Berry Cherry","Desechable",1,0,0,0,"Efectivo",""
"V-012","2026-04-08","Blade 33K Passion Fruit","Desechable",1,280,0,280,"Efectivo",""
"V-013","2026-04-08","Burst 36K Strawberry Kiwi Ice Blast","Desechable",1,280,0,280,"Efectivo",""
